smCenterCompoundID	smCenterSampleID	smLincsID	previousSmLincsID	expunge
BRD-K81651477	BRD-K81651477-001-01-9	LSM-43089	LSM-4576	1
BRD-K81651477	BRD-K81651477-001-03-5	LSM-43089	LSM-4576	1
BRD-K28120222	BRD-K28120222-001-05-0	LSM-43090	LSM-4576	1
BRD-K28296557	BRD-K28296557-005-14-6	LSM-43091	LSM-4577	1
BRD-K28789065	BRD-K28789065-001-01-1	LSM-43092	LSM-4579	1
BRD-K33583600	BRD-K33583600-001-09-6	LSM-43093	LSM-4599	1
BRD-K38340366	BRD-K38340366-001-13-2	LSM-43094	LSM-4613	1
BRD-K38340366	BRD-K38340366-001-06-6	LSM-43094	LSM-4613	1
BRD-K38340366	BRD-K38340366-001-12-4	LSM-43094	LSM-4613	1
BRD-K42834456	BRD-K42834456-001-01-4	LSM-43095	LSM-4628	1
BRD-K54573313	BRD-K54573313-001-01-6	LSM-43096	LSM-4658	1
BRD-K56957086	BRD-K56957086-001-02-2	LSM-43097	LSM-4665	1
BRD-K56957086	BRD-K56957086-001-04-8	LSM-43097	LSM-4665	1
BRD-K60623809	BRD-K60623809-001-02-0	LSM-43098	LSM-4677	1
BRD-K60623809	BRD-K60623809-001-04-6	LSM-43098	LSM-4677	1
BRD-K63425657	BRD-K63425657-001-01-2	LSM-43099	LSM-4683	1
BRD-K64440589	BRD-K64440589-001-01-3	LSM-43100	LSM-4687	1
BRD-K67977190	BRD-K67977190-066-01-5	LSM-43101	LSM-4700	1
BRD-K74148702	BRD-K74148702-001-05-3	LSM-43102	LSM-4705	0
